city,place name,note,review title,positive_text,negative_text
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Correct avec un bon emplacement pour se rendre rapidement dans le centre ville de Marrakech,Le confort des chambres et de la literie,Nous avons oublié dans la chambre 5 cartouches de cigarettes à notre départ et nous nous en sommes rendu compte 30 min après nous avons rappelé et ont nous a dit qu’il y avait seulement 4 cartouches dans la chambres et quand ont leur a assure qu’il y en avait bien 5 ils ont pas su nous donner d’explication . Si l’ont peut pas laisser des affaires dans une chambre sans avoir confiance au personnel de l’hôtel c’est qu’il est à éviter !
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Très décevant,La piscine pour les enfants,"L'emplacement n'est pas idéale. 
La propreté de l'établissement n'est absolument pas au rendez-vous. 
De manière générale, assez décevant"
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 8,0",Merci beaucoup pour tout et à la prochaine fois inchlh,"L’acceuil le personnel au petit soins 
La propreté des lieu
La picine au top  
Tous etait nikel",Le seul point noir le parking placé insuffisante
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Je reviendrai au wazo appart hôtel,"La localisation de l’hôtel par rapport au centre de Marrakech est plus qu’agréable 
La gentillesse du personnel 
Le parking et les places disponibles","Manque de serviette donc sont données au compte goutte mais ça ne dérange pas le séjour pour autant 
La piscine n’était pas très propre, des touffes de cheveux, des branches… la nettoyer tous les jours serait un vrai plus"
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 7,0",Sejour relativement satisfaisant,"Le personnel était professionnel et accueillant, l’appartement était spacieuse et bien agencé avec un balcon magnifique, ideal pour une petite famille, je dirais que l’hotel est bien sans plus.","Matelas pas tres confortable, équipements de kitchenette laisse a désiré, c’est le plus grand point que je reproche a cet hotel, piscine pas tres entretenue, pour un hotel qui est loin du centre ville, il faut remédier a ces points afin de compensé."
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,Rapport qualité prix,RAS
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,"La piscine ,l appartement le rapport qualité prix",Rien
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,L’emplacement l’accueil,Ménage très mal fait et à la va vite
Marrakech,"Wazo Appart-Hôtel
Une nouvelle fenêtre va s'ouvrir"," 6,0",Agréable,Ras,Clim ne marchait pas avec cette chaleur
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,L’emplacement et la propreté,"Y a pas de prises près du lit, celles qu’il y a sont trop loin"
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 8,0",Séjour agréable,"Bon emplacement, équipe sympathique , propreté",
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,"Accueil chaleureux, personnel courtois et respectueux. 
Hygiène des lieux irréprochable, et chambre très confortable.",Pas de climatisation dans la chambre mais un ventilateur mural qui a fait office de réfrigération !
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,l’emplacement,pas de clim mais un ventilateur et un manque de prise et du bruit
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,,"Bruit première chambre, lit trop petit pour moi dans la deuxième 😉"
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,"Charmant hôtel sans Prétentions, propre avec terrasse sur le toit et différents salon à l'extérieur pour se reposer et se ressourcer 
Chambre fonctionnelle et propre sans plus (télé et climatisation indisponible)
Proche place jamaa El fna 
Personnel disponible, courtois et accueillant 
Prix intéressant",Ras
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 8,0",Bel emplacement,"Cet hôtel est très bien situé : entre la place Jemaa El Fna , les souks, les mosquées,  koutoubia 
Magnifique riad dans les espaces communs: toit panoramique, transat, fauteuils marocains,..
Le personnel est gentil, au petit soin aux demandes de leurs clients! Ils nous ont données des indications sur les lieux à visiter ,.. 
L’hôtel est propre , nous avions des kit de soins, climatisation dans la chambre","J’étais un petit peu déçu de l’état de la chambre.
Par curiosité, j’ai pu remarquer que d’autres chambres sur notre palier étaient rénovées, mais pas la nôtre. Mais bon, nous avons laissé passer ce petit bémol car nous avons déjà la chance de voyager et que d'autres ne l’ont pas....
Et concernant le lit, nous bougions à peine qu’il craquait énormément."
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 8,0",Suffisant pour des personnes qui souhaitent découvrir la ville et uniquement dormir à l'hôtel.,Extra centre,Propreté des sanitaires
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,"Super riad simple mais pas chèr 
Personnel vraiment sympas je recommande bien place 
Petit déjeuner a côté de l'hôtel
On a commandé un tagine il est extra pour 3.50 par personne",
Marrakech,"Hotel Central Palace
Une nouvelle fenêtre va s'ouvrir"," 9,0",Bonne relation qualité prix. Pour deux nuits ça va.,"L'emplacement est top, très facile d'y arriver et de se bouger en transport en commun. La chambre est propre. Bonne relation qualité prix.","Parce que l’emplacement de l’hôtel est proche de la place Jemaa el fna, l’endroit est très bruyant et parfois difficile à dormir. Partager la salle de bain est compliqué, mais nous le savions à l’avance, donc il n’y a pas de surprises."
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,"Un grand merci à Samir qui a été au petit soin du début jusque la fin de notre séjour.
Je recommande fortement cet établissement !",
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir", 10,Magnifique,L’accueille et la propreté et le calme,
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir", 10,Calme et reposant,"Tout était parfait.
La chambre était comme sur les photos, propre et confortable, l’hôtel très calme parfait pour se reposer  et le personnel était d'une très grande gentillesse, très serviable, Samir nous a accompagné durant notre séjour et il a été parfait avec nous. Le petit déjeuner servis tous les matins était excellent.",Rien
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,"Très convivial, familiale. Le petit déjeuner était super. Le personnel au petit soin. On se sent comme chez soi. Il y a vraiment de bonne odeur qui proviennent de la cuisine malheureusement je n'ai pas eu l'occasion d'y goûter. (pas faim)",Aucune la salle de bain petit bemol
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,Nous avons passé un très bon séjour. Je recommande fortement.,Le petit déjeuner: qu’il est un peu plus de choix.
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir", 10,Merci aux personnels pour l’accueil et tout le service.,L’établissement résume parfaitement la phrase qui dit « se sentir bien chez soi »,
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir"," 9,0",Super endroit,Tout,Rien
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,"Séjour mémorable dans un hôtel exceptionnel. Le personnel est aux petits soins, les chambres sont magnifiques et la restauration est délicieuse."" 
Merci à Mouad pour sa gentillesse,ses conseils et sa disponibilité.

Nous reviendrons avec plaisir !",
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir", 10,Top,Top,
Marrakech,"Yanis Guest House
Une nouvelle fenêtre va s'ouvrir", 10,"On y reviendra sans hésiter, ça s’est sûr!","Petit déjeuner varié, repas suivant goût des clients, relationnel+++
La chef Sana: exceptionnelle, attentionnée, elle nous fait découvrir les saveurs Marocaine avec délicatesse et sympathie.
Les maîtres d’hôtel qui se relayent  24/24, Mustapha: sérieux et attentionné, de bons conseils pour golf et visites.
Samir: un humour en dérision, attachant et un petits soins. Mourad: adorable, jeune et motivé, souriant.
Tous les trois avec beaucoup d’empathie tout en restant très pros.
Bref on était presque comme à la maison.",Rien
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,Super hotel très calme et surtout le personnel très très sympa.,Dommage qu'il soit un peu loin de tout
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir", 10,Calme et reposant,Très bon hôtel et le personnel est très accueillant,
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir", 10,Super 👍,Personnels aux petits soins !,Rien du tout
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir"," 9,0",Semaine en famille,"La chambre familiale très grande. Propre. Très bon petit déjeuner. Personnel très agréable. Très bon service. Repond à tous les besoins (chauffeur, excursions...)Piscine très agréable. Très calme.",
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,"pour vous resumer simplement on a tout aimé, de l'acceuil au petit dejeuner 
le calme la proprete et la simplicité l'endroit ideal pour se reposer",rien
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir"," 9,0",Un moment de détente en fin de voyage,"Grande piscine très agréable et chauffée avec plusieurs transat! Les chambres sont exceptionnelles et propres en plus d’être confortables à souhait. Elles sont faites tous les jours. Petit dej délicieux et complet avec fruits, spécialités… Le staff est adorable",Le prix des conso est exorbitant surtout l’eau !!
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,"Personnel aimable serviable, petit déjeuner copieux 
Picine propre",
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,,"Une bouteille d eau qui coûte 70 dh , c est de l  arnaque."
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,Le personnel est au petit soin.,Le prix de la bouteille d'eau.
Marrakech,"Palais Mirage d'Atlas, Hôtel de Luxe & Spa
Une nouvelle fenêtre va s'ouvrir"," 8,0","Beau séjour , je recommande ce lieu","Lieu très reposant , les suites sont spacieuses",Loin du centre de Marrakech
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir"," 8,0",Je recommande cet établissement,"Accueil très chaleureux, très calme et à 10 min de marche du souk",Le sanitaire sont un peu vétustes
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir", 10,Amazing stay at Riad de Marrakech,"Nous avons passé un séjour très agréable à l’Étoile d’Orient. Le Riyad est très très propre, décoré avec goût, et l’ambiance y est apaisante. Un grand merci à Yakout qui a été super attentif et disponible tout au long de notre séjour. Toute l’équipe est très sympathique, ce qui a rendu l’expérience encore plus mémorable. Nous reviendrons avec plaisir ! ",Everything was good!
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir"," 9,0",Un havre de paix au cœur de la médina,"Emplacement parfait, juste à côté du souk ! Dès qu’on entre dans le riad, c’est un contraste total : on passe de l’agitation des ruelles animées à un havre de paix. Le calme est vraiment appréciable. Le personnel est adorable, toujours souriant et aux petits soins. Le petit déjeuner était excellent, varié et très soigné. Une très belle expérience.","Le matelas était un peu ferme, mais le calme ambiant a largement compensé."
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,Emplacement du riad à 3 minute de la place Jemaa el fna. Leurs spa et massage la gentillesse du personnel et le confort de la chambre. Les riad sont surprenant par leur havre de paix.,Rien tout était sympa.
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir"," 8,0",Pas parfait mais très bien!!,Emplacement WoW !!,"Déjeuner ordinaire , isolation des chambres inexistantes."
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir"," 8,0",Nous avons passé un très agréable séjour,Le personnel était accueillant et a l’écoute le petit déjeuner était excellent,Le fait qu’il y a pas de porte de séparation entre la chambre et la salle de bain
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir"," 8,0",Riad en plein coeur de la médina,"Riad en plein coeur de la médina, nous avions le riad vert très bien ainsi que le bleu, moins bien, plus ancien et triste
Très belle terrasse sur le toit, bon petit déjeuner",Rien en particulier
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir"," 9,0",Magnifique RIAD,"Très bien situé à 2 pas de la grande place et du souk . Un Bagagiste qui  vient vous récupérer vous  et vos bagages pour vous emmener jusqu'à l'accueil du RIAD car pas évident à trouver pour la 1ère fois 😉, très bonne accueil, personnel souriant et avenant  
Mes amies et moi même avons passé un super séjour!!",
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir", 10,Petit bijou proche de Jamaa El Fna,"Nous étions un groupe de 6 dans le Riad privé “Green Diamond” , nous avions 3 chambres avec lit double et chacun sa salle de bains privée magnifique, un salon une cuisine, une table à manger et une terrasse avec Jacuzzi sur le toit, l’emplacement est à 5-10 min à pied de la place Jamaa El Fna et du souk, et aussi à 5 min à pied du Riad principal, mais on reste totalement indépendant du Riad principal, tous les échanges avec le Riad se font via whatsapp ils sont très réactifs et le petit déjeuner et le ménage est fait par Nadira qui vient dans notre Riad le matin pour tout préparer 
C’était super, bien placé, et très propre !!",
Marrakech,"Riad L'Etoile D'Orient
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,"La gentillesse du personnel, ils veulent vraiment vous aider. Le Riad est très beau et très propre, tel que les photos. Il est très bien situé dans la médina et c’est très calme et sécuritaire.",Le lit était très dur.
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,Nous avons passé un très bon séjour. L'endroit est calme et confortable. Le petit déjeuner est très bon et copieux. Hanane à la réception est très accueillante et attentionnée,Rien
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,Un endroit paisible avec un personnel chaleureux. Un lieu très agréable. Excellent séjour !,
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,"Petit coin de paradis, nous avons adorés la végétation, la piscine, la tranquillité, le paon qui vient nous rendre visite ! Le lieu et la chambre sont magnifique ! 
Le petit déjeuner est très très bon ! Le personnels est adorable et aux petits soins, merci beaucoup à Hanane pour sa gentillesse et sa disponibilité. 
Le prix est très abordable pour le lieux ! Nous reviendrons ici si nous revenons à Marrakech! ☺️",
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir", 10,Reposant et accueillant,"La gentillesse et la disponibilité de Hanane, un grand merci à elle.
Et merci à tout le personnel qui a été au petit soin du début à la fin 
La piscine était très bien entretenue,
 les petits déjeuner étaient copieux, l’emplacement et idéal et calme, nous étions à 15min en voiture de la médina 

PS: juste une petite suggestion, pour avoir un mini frigo dans les chambres serai super",
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,personnel tres sympatique tres polie c est clean piscine top chambre top,le parking petit juste pour quelque voiture et quelque metre non goudrone jusqu au loft
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir", 10,"Repos, calme et accueil irréprochable","Le calme, le sourire et professionnalisme",Rien
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,Le calme et le personnel,La distance avec le centre ville qui finalement avec un bébé est un peu trop grande. Manque un frigo dans la chambre.
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,L’accueil d’hanane très gentille et à l’écoute.,
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,"L'accueil d'Hannan.
Lieu agréable 
Chambres très grandes",Rien
Marrakech,"O'loft
Une nouvelle fenêtre va s'ouvrir", 10,Je recommande!,"Nous avons adoré logé dans ce riad. L’accueil très chaleureux, le personnel était disponible 24h/24h, était très aidant avec de bons conseils.
La nourriture est très bonne. L’endroit est très calme c’était super agréable. Merci encore à hanan qui nous a accueilli et été là pour nous tout le long du séjour!",Rien à dire
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir", 10,Magnifique Riad!,"Très beau Riad, très bien situé dans la médina. Personnel très gentil et aux petits soins. Très propre aussi! Tout était parfait ! Merci.",Rien
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir", 10,Fantastique !,Tout,Rien
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,"Chambre petite mais cosy avec tous l'équipement nécessaire.  
Riad typique.  
La petite piscine est un sacré plus.
Le personnel très sympathique et nous avons même eu un déjeuner pique-nique parce que nous partions très tôt.",
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,Tout,Ras
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,"Riad très joli et personnel très professionnel on recommande encore merci à vous.
Famille Thibault 😀",
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,Personnel souriant et très agréable. Bien placé pour se promener dans la médina. Petit déjeuner extra 😁,Rien à dire
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,"Un lieu magnifique à 5 minutes à pieds du coeur de Marrakech. Nous avons sejourné 3 nuits avec notre petite fille de 3 ans. Le riad est magnifique, decoré avec soin, un véritable havre de paix et de fraicheur malgré les 44 degrés lors de notre pssage en août. Le personnel est d’une gentillesse inouïe (mention spéciale pour Anas 🙏🏼), la cuisine proposée est excellente, le petit dejeuner un véritable délice. Un sans faute du debut a la fin, qui ne donne qu’une envie, celle de revenir ! Merci pour cet excellent séjour !",
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir", 10,Magnifique,Tout était parfait,Rien
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir", 10,Exceptionnel,Tout,
Marrakech,"Riad l'Oiseau du Paradis
Une nouvelle fenêtre va s'ouvrir"," 9,0","Très agréable, le personnel au top","Le petit déjeuné copieux et très bon. 
La décoration type marocaine, le Riad est très beau","La piscine est plutôt un bassin, mais c’est quand même agréable
L’insonorisation de la chambre"
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,personnel très accueillant et à l'écoute,piscine très petite et qualité médiocre du p'tit dèj
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,Super accueil Mr Omar une personne formidable et a l écoute merci beaucoup,Super accueil Mr Omar une personne formidable et a l écoute merci beaucoup
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 8,0",Bien,"L emplacement ,propete,personel du menage et le garçon de la piscine trés serviable et aimable 😊",
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,"Le calme
accueil chaleureux","Propreté 
Disponibilité du personnel"
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 7,0",Bien,"L’hôtel etait bon mais les gardiens de parking insupportable , tres difficile de se garer",
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,Le personnel était  agréable  un accueil chaleureux  c'est devenu  nôtre  hotel  chaque  fois quand on  va à  Marrakech,
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 9,0",Fabuleux,Bon rapport qualité prix et bon emplacement,
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 8,0",Très bien,Personnel aimable et serviable,
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 7,0",Très bien ;emplacement. Calme . propreté faut revoir juste la piscine,Personel sympa. La Propreté est présente le calme aussi .,Le mini bar qui n’était pas à la chambre mais jl’ai demandé. Piscine si petite faut exiger le bonnet on peut pas se baigner avec des mèches ds l’eau mal traitée
Marrakech,"Hotel Relax Marrakech
Une nouvelle fenêtre va s'ouvrir"," 8,0","accueil agréable, le calme malgré la situation dans quartier très animé",tout était impeccable,ras
