city,category,place name,review title,review,plateforme
Marrakech,Hotel,La Maison Arabe,Authentic Moroccan experience,The staff at this hotel are so attentive. All your requests and needs are met immediately. The rooms are large and decorated in authentic traditional Moroccan style. At first getting to your room is like being in a maze with so many courtyards and corridors but you soon find your way. Very private and no outside noise except you can hear the birds singing. The breakfast and afternoon tea are very refreshing. Two restaurants on site if you arrive jet lagged you don’t have to go out. All in all a wonderful experience and I would stay there again. Highly recommend this hotel.,Tripadvisor
Marrakech,Hotel,La Maison Arabe,Fantastic stay ✨,"Excellent location excellent staff turn to customers, especially Mr. Driss at the front desk. 
We had a great stay thanks to all of you",Tripadvisor
Marrakech,Hotel,La Maison Arabe,A must-see in Marrakech,"Very good workshop! We cooked 2 types DE sala DE Moroccans (taktouka and courgettes), a fish tagine, and an almond and orange blossom pastilla. Very good menu that shows the techniques to use to cook a Tajine. We learned a lot DE Moroccan cuisine (not just these dishes). DE addition, it is a wonderful human experience: Naila and Dada are incredibly kind. It’s a perfect course for all levels, then eating the final product in the beautiful dining room is a sublime experience.",Tripadvisor
Marrakech,Hotel,La Maison Arabe,Magical Marrakech,"We not only had a wonderful experience at your hotel but your city was amazing. The La Maison Arabe property is very lovely. The spa was under renovation but we had a beautiful experience nonetheless. Each room and nook were beautifully decorated all very traditional and welcoming. We loved wandering through on the way to the piano jazz bar. What an absolute treat to have such talented musicians every night !! The bartenders made exceptionally crafted drinks. We enjoyed many nights at the lounge. Also that cinnamon smell radiating when you walk in reception was yummy. The staff…
All the staff that we encounter were absolutely amazing. They went out of their way to make us feel welcomed and they were so very accommodating to our needs. They truly are the reason we would recommend the hotel and come back to stay. We truly feel they were exceptional. 
The cooking class was outstanding! 
The 3 hours flew by. We all agreed that the cooking experience was the best of all our activities that we scheduled for our entire stay. Walking distance from the markets and Bahia Palace as well as the Saadian Tombs",Tripadvisor
Marrakech,Hotel,La Maison Arabe,Magical stay in this historic hotel.,"Incredible stay at the hotel. The grounds of this historic hotel can’t be matched. The staff is so incredibly warm, kind, and knowledgeable. They made my stay one I will remember forever. I traveled alone and felt safe and looked after by the hotel team every day. I will always come back here when I am in Marrakech. Beautiful city with beautiful people. 

If you want a magical visit, this hotel is the place to stay…",Tripadvisor
Marrakech,Hotel,La Maison Arabe,"The cooking workshop, exceptional recipes","Chef Rachida and the sales manager explained the recipes well and it was very rewarding.
Thank you for the tea master DE ceremonies with his captivating explanations.",Tripadvisor
Marrakech,Hotel,La Maison Arabe,Second visit to this wonderful hotel.,"La Maison Arabe is an excellent and peaceful hotel in a very good location for exploring the Medina and also further afield; we walked to the Jardin Majorelle and Gueliz in less than thirty minutes.
The hotel rooms and public spaces are beautifully decorated in traditional Moroccan style and everything is very clean and well maintained. 
The hotel's country club is a great facility just outside the city, great place to go in the afternoon heat to enjoy the pool and relax. 
The food is great, the breakfast buffet has a very wide choice and the restaurant in the evening has an excellent menu and very interesting wine list featuring mainly Moroccan wines, which we rate highly.  We also enjoyed the roof top bar for more casual dining. 
Although we find everything about this hotel to be excellent, the most impressive aspect of La Maison Arabe is definitely its staff. They could not be any more helpful or friendly, they are a real asset to the hotel.
This was our second visit to this wonderful hotel, and we will definitely return.",Tripadvisor
Marrakech,Hotel,La Maison Arabe,The absolute best!,"I can’t say enough about Maison Arabe. I have had the great fortune of traveling and it’s the most wonderful, magical place I’ve ever stayed. The staff is exemplary!!! The food is amazing. My only disappointment is the pool was closed and we learned having dinner there is highly recommended. I can’t say enough about the staff! I felt like a princess. In fact, I get choked up thinking about how kind everyone was. A special thanks to Hakim, Redwane, the bar tender and another gentleman who also worked at the front desk. Everyone was special!! I hope to return one day!",Tripadvisor
Marrakech,Hotel,La Maison Arabe,"Luxurious, authentic and historic.","We were very pleasantly surprised by La Maison Arabe, when booking we didn't study it much but the service was 5* from the moment we booked. The hotel refunded us for an extra day we accidentally booked which was very kind. They knew I'd recently been in a traffic accident in the UK so they organised a 4x4 car to pick us up from the airport for free. The team were highly professional and warm spirited throughout our stay. They helped us organise trips, taxis and offered daily advice. Our room was immaculate, opulent yet homely and felt luxurious. I've tried to recreate our stay at home by buying orange blossom essence, brass hooks and towel robes :)

The hotel has a jazz piano bar and lots of history too. I think Winston Churchill was a frequent visitor. 

As someone who cannot eat gluten or dairy I often find hotel breakfast difficult. However the food was great! I had almond milk in my coffee and plenty of options for food; omelette, fresh figs, fresh beetroot juice, savoury options, fruit, quinoa and more. 

At the time of visiting the pool was under construction so the hotel had an hourly shuttle which took us to their second private property which has a fabulous luxury outdoor pool set in hectors of gardens and in a beautiful setting. I would have liked to have known about this before arriving, but they certainly redeemed themselves. 

My only criticism was that one of the taxis they booked us during the week didn't have seatbelts, but perhaps they didn't know that when booking. And, that the fallback pool didn't serve alcohol like the hotel did. But the lunch we ordered was delicious. 

The hotel is very well located and we mostly walked everyday to our destinations. On arrival we booked a walking tour which was such a great idea as we saw so much of the local area and the guide over indexed on the arts which is our passion. 

I'd definitely return here again!",Tripadvisor
Marrakech,Hotel,La Maison Arabe,Unforgettable getaway to the Arab House,"In addition to being a mythical Palace, the welcome was perfect for all the staff with a welcome mocktail and every day a tea time/pastry served at 5pm in the patio and its fountain. Perfect room and bathroom with welcome bottle Cafe/the.",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,Perfect Place to stay,"If I could give this place 10 stars I would. The level of service is on point. Beautiful
Grounds, the food is delicious, the entire staff is attentive and kind. They have wonderful recommendations for places to eat and things to do. Guest services created an amazing experience for my child’s birthday. Ismail by the pool is the BEST. He anticipated our wants and needs and made our trip effortless.",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,Definitely not Four Seasons standard,"Poor Service all around 
Had to wait an hour at the pool to get someone to get. Me drinks
Also had to ask several times to get them to call a taxi for me
The House keeping dept is very inconsistent. Half the time they  don't replace face ir hand towels",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,A Magical Stay for the Whole Family – Highly Recommended! ⭐️⭐️⭐️⭐️⭐️,"We recently stayed at the Four Seasons Marrakech as a family of three (two adults and our three-year-old son), and it was a truly unforgettable experience. From the moment we arrived, we were greeted with warm smiles and exceptional service. The staff were incredibly attentive, polite, and genuinely welcoming.

The resort itself is stunning – lush gardens, serene walkways, beautiful architecture, and a peaceful atmosphere. Our son had an amazing time, especially at the family pool, where the staff were absolutely fantastic. A very special thanks to Mr. Ismail and the entire team at the family pool – they were kind, professional, and consistently went out of their way to make us feel comfortable and well cared for.

The overall experience was flawless, and we deeply appreciated how family-friendly and accommodating the hotel was. We made some amazing memories here, and we’re already looking forward to our next visit. If you’re traveling to Marrakech with children, this place is a must!",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,An enjoyable stay but somewhat mixed in terms of service.,"I spent a week in Marrakech, splitting my stay between a resort on the outskirts of town and a 3-night stay at Four Seasons to explore the city. After an exceptional experience at the first resort, the Four Seasons proved less consistent in service. That said, the hotel does have some great staff amongst the team - particular thanks to Fatima and Hisham. 

Unlike most hotels, at the Four Seasons Marrakech many staff fail to acknowledge guests with a greeting when passing in public spaces, which diminished from the feeling of welcome.

Further details on the stay… 

> Arrival:
On arrival, only one receptionist was present and already occupied, leading to a short delay. During this time, a welcoming young gent offered Moroccan tea. The formalities of checkin were paired with some unnecessary personal commentary from the receptionist - enquiring on whether I enjoyed solo travel (as she did not) and later remarking on my lack of a tan.

> Room:
I was initially assigned a Garden Patio room, but construction noise prompted a move. This was expertly handled by the front desk supervisor, who arranged an Upper Pavilion room. This room was light-filled, spacious and well-appointed, with generous outdoor seating and peaceful garden views. It is also detached from the main building and felt private. Housekeeping was good, with the notable exception of missing turndown service on the second evening. As for sleep quality, the bed was the usual Four Seasons high quality however the aircon not very effective (even on the lowest setting & after being checked). 

> Hotel & Grounds:
It’s a lovely resort, and the architecture features some nice Moroccan touches - most notably the grand water feature leading to the main building and the indoor décor. Despite its proximity to the city, the hotel grounds are expansive and very enjoyable to stroll. Aircon in the lobby and reception area was inadequate.  

During my stay the hotel was undergoing maintenance, which had not been disclosed at time of booking or on their website. This included the closure of the adults-only pool, leaving only the rather noisy family pool available. After raising this with management, they offered access to the pool in one of their villas. Service from Hisham, the waiter there, was outstanding - a contrast to the main pool, where on my first day staff were disengaged and guests needed to seek out staff / approach the bar themselves.

> Spa:
The massage was relaxing. It was however one of the smallest treatment rooms I’ve been in with some ill fitting curtain making the room brighter than it should be. 

> Dining:
Breakfast at Quattro was very enjoyable. There was a comprehensive buffet with local and international selections, eggs made to order, and a great selection of fruit juices. Staff were friendly and it was a lovely setting for outdoor dining.

Lunch at Azzera was underwhelming. The vegan cobb salad was beautifully presented, but would have benefited from a sauce. Despite an empty well staffed venue, service was inattentive - no one checked on the meal after it was served, water wasn’t replenished, and the table wasn’t cleared for some time after dining.

Early evening drinks at Inara on the first night were forgettable - neither the bartender nor waitress knew what a Daiquiri was. 

Zest Rooftop was a standout however - lovely views, good service, tasty cocktails, a DJ, and an enjoyable Asian-inspired menu.

Finally, a note on vegetarian options: beyond salads and pasta, these were limited across all main menus including room service menu. I also had to repeatedly remind staff of a nut allergy, which most premium hotels note at check-in or after the first interaction when dining.",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,Superb service and experience. The service at fourseasons was awesome from the moment we arrived.,"Sheer excellence at fourseasons. Service was of the highest order, staff were genuine, friendly and helpful. We spent 2 weeks here and every day was warmly received from all staff members, no matter what their role. Great food options, beautiful breakfast everyday overlooking the waterfalls. Would recommend a Hamman and massage at the Spa and the hotel offer great trip options from trips into the Medina through to the Atlas mountains and YSL gardens. The staff really made this stay special, was a 10/10 stay for us. Special,call out to Addessamad, Ishmael, Mohammed from the pool area and Mohammed from Zest restaurant. Our first trip to both Marrakech and Morocco and we will be back, in the main thanks to fourseasons hotel and their staff.",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,Beautiful resort with spacious lovely rooms………worst food and awful menus. It’s hard to believe that in a Four Seaaons.,"The arrival staff  and checkin staff were excellent and we were upgraded to a beautiful spacious room.
After being in Morocco for a week and traveling to different hotels and restaurants and eating amazing fresh Moroccan cuisine it’s hard to believe that this property offered an American style rubbish menu and food to match.
They can’t even make a nice salad.
Highly disappointing.
Avoid eating here.",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,Just an airport hotel?,"Just very average, rooms are dated and not special. It seems the public areas of the hotel have been made to look special for visitors but when you actually go to your room is completely different.

I overheard another guest saying it’s so convenient being 10 minutes away from the airport. If you are looking for that this will tick the box. 

There was also construction work happening that we were not informed about during the booking or prior to arrival.   

Very disappointing",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,Outstanding,"The most beautiful hotel ever . The staff are incredible, kind and attentive . Food was divine and the whole place is immaculate. It’s peaceful, wonderful and feels like an absolute treat to be there.  My two daughters also enjoyed kids club for a few hours a day and they loved it. 100/10 and didn’t want to leave!",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,Fabulous,"Top notch service from communication prior to arrival, arrival-everything in between! The grounds are gorgeous, our room-the one bedroom patio sweet with the Plunge pool was fantastic. Restaurants, roof top bar and spa all exceptional",Tripadvisor
Marrakech,Hotel,Four Seasons Resort Marrakech,WOW !,"Wow WoW Wow !
Everything was beautiful
The place is a dream and the Service  is excellent.
They made us feel like royalty it was truly a dream come true. 
Thank you so so much to Salma , Yassine and Soukaina  for your Smile and amazing service.
And also to Badr, Anas, Axhraf, Maryam 
And every one that be there for us to do an unforgettable experience at the Four Seasons Marrakech.
Very recommended .
We will come back !",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,Five Star Experience!!,The Riad Kheirredine was just AMAZING!! The service from beginning to end was something I have never experienced even as a seasoned traveler. The staff treated us like family and serviced our every need and were very warm and inviting. The property gives you the Moroccan vibe and at the same time it has a modern feel. We are planning a trip back in the near future. I highly recommend this property. You won’t be disappointed!!,Tripadvisor
Marrakech,Hotel,Riad Kheirredine,The best Riad in Morocco - there aren't enough superlatives,"After spending one night in Marrakech and another in the Agafay Desert, we locked in for the main event and stayed @riadkheirredine for 4 days and 3 nights. I am prone to superlatives but of the 50+ countries and hundreds of hotels that I’ve stayed in, the people at Riad Kheirridine stand above them all. There's no sense in reading any other review because I'm telling you point blank - the answer is Riad Kheirredine.

We absolutely LOVED Marrakech - from shopping for artisan-crafted goods (not just fake stuff from China) in the Souk to the outstanding food, this is a city (and Riad) that i will recommend to everyone i know. It's enchantment from movies is all accurate; a true jewel of Africa.

All of this would have made it an incredible trip on its own but I fell madly in love with the team @riadkheirredine. Why am I so effusive in my praise? They made Morocco accessible and calm and easy in a place that could feel overwhelming and insurmountable. Are you still a little bit unsure about the trip? Go to Kheirredine. 

First, they have someone who always walks with you in the medina and have three meeting points so you always feel safe and comfortable without knowing more than “shukran” in Arabic. It’s especially helpful at night; never once did I feel unsafe because I had a friendly buddy to guide us everywhere. 

The Riad gives you a smartphone and you text when you need ANYTHING - they arrange ALL the taxis so you feel safe and get the right price. You know how nice it is to know that you’re not a mark? You save so much money that way it practically pays for the Riad stay. It takes all the stress and anxiety away. All you do is send a text and you get someone to escort you and give you guidance in perfect English or French and a get-to-know-you conversation that brings enrichment to the experience. I became friends with all of the guys who were our guides. Ayoub is such a great guy and the boys at night - Ismail and Noureddine - were so cool and made us feel safe.

Fadwa is the hostess and front of house who plans everything after learning what you are looking for in the experience. If I owned a Riad I would ask her to name her salary because she is the key for the Riad and for us the most important person in Morocco to make the trip exceptional. Her warmth and hospitality made it feel like we’ve known her for years. She is intelligent and socially adept at understanding what kind of experience you're looking to have.  She stands above all and truly was integral to the trip. Listen - if you want to go to Morocco - you need to know her. She is the best of the best. The entire front office bends over backwards to help. I loved Karim, too - he's the smiling, cool guy who helps the Riad run flawlessly.

Amazing right? But that’s still not all of it. The Marrakech trip was made by the kindness of the entire team. 

My personal highlight was being invited by one of the staff members (Ahmed - my first friend who bridged the cultural gap) on day ONE to break fast with the staff at Iftar after the sun set. It’s Ramadan so each evening the team gets together which shows the closeness and family atmosphere of the Riad. Ahmed was the blink to open my eyes to Morocco.

I love cultures and food so I was ecstatic to be welcomed in after such a short time. Think of that - the first day they welcomed me into an intimate gathering that is for them and their beliefs. It made me reflect on how guarded and almost standoffish western culture is in terms of bringing in people who are different than us. Energy spent on exclusion is wasted; energy spent of welcoming those who seek to understand creates lifelong memories and friendship.

The three Iftar experiences are moments that I will cherish; conversations that ranged from Morocco and culture to the USA to their families (King of Kindness Mohamed is kid #13 in his family - 6 brothers and 6 sisters who grew up in the Sahara desert) to the status of cats in Morocco (A cat Kingdom 🐈 👑). The “Uncle” of the group is a gentle and kind man named Mehdi. We talked about travel and movies and I’m so stoked when he’ll get to fulfill his dream trip to Italy in the Fall. When was the last time you were shown pictures in a hot air balloon from someone at a Courtyard Marriott? I am proud to say that I will know Mehdi forever. My dude Rabbi is an aspiring rapper and so cool that I could drop him into Toronto or LA and he'd thrive. You’ll hear his tracks on my IG stories. The coolest cat with the moustache is Saleh and he'll make you the best drinks. The unlimited complimentary fresh-squeezed orange juice was out of this world and Khalid and Aymane would be looking for me to give me more. 

I always say that culture is the sharing of stories. People make a place great and the Moroccans we met @riadkheirredine showed me their culture in the greatest ways. 

If you want to go - and you should, trust me - you'll have the best time at Kherrredine. Move it up your list and find Fadwa. It'll be the trip of a lifetime.",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,A fantastic riad in Marrakech,"We're a family of four whom had a wonderful stay at the riad. From the point when we arrived until we left was packed with great moments, excellent food, superfriendly people and very nice rooms. The people made us feel as we were home. Only regret is that the riad was closed when we returned back to Marrakech. A stay far beyond expectations.",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,Amazing stay at Riad Kheirredine,"Its hard to describe how beautiful this place is. My wife and I have travelled extensively and we both agree this is , overall, the nicest place we have stayed. We were upgraded to a beautiful suite with a large living room and a nice wrap around balcony overlooking one of the courtyards in the riad. Everything here is an 11 out of 10 - the service, the food and drink and the incredibly gracious staff. We also utilized the spa and did the traditional hammam experience with a massage.  The Riad is located within the medina and it is a short walk to all of the shops etc. We loved the location.
We really enjoyed relaxing on the rooftop of the Riad .  In the evening, we would have a drink at the rooftop bar and then eventually sit at one of the rooftop tables and enjoy a leisurely dinner. We also had a fantastic breakfast on the rooftop every morning.  Honestly, we did not want to leave. Thankyou for a wonderful experience. If we ever go back to Marrakech, we will defintely be staying at Riad Kheirredine.",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,This is the best place you will ever stay!,"Best experience of our life! I'm telling you, this was the most wonderful stay we've had in all our travels around the world. 
They ordered our driver to pick us up. He was waiting upon arrival. Drove us to the location near riad where the staff was waiting to take all our luggage to the riad. While you're walking to get to the riad, you think OMG, is this going to be ok? Then you walk in to Riad Kheirredine and all your worries fade away! Drinks upon entering, the staff, especially Fadwa made you feel right at home. She showed us every aspect of the riad, all the stunning rooms, food menu, pools, spa facilities, etc. When I say, stunning, I mean stunning. Everyone greets you by name. Our first evening we had Moroccan menu on rooftop and our waiter treated us like royalty. The food was marvelous! Our room was stunning as well! Our bed was a Euro King, which if you know, you know! Loved it! We had a  twin bed for our teen daughter. So comfy. Dark room so you can sleep peacefully. Birds chirping in the morning. Food can be ordered if you want it to the room. 
The Riad also provides you with a cell phone so when you're out in the Medina or walking around and need anything you text them, they will respond and order you a Tuk Tuk or taxi to get you back to a meeting point and one of the staff will come pick you up!! 
We had 3 massages at the spa and it was the best massage I've had. My husband, daughter and I all agreed it was fantastic! They come to your room, hand you your robes, then you follow the ladies to the spa where you are pampered and rubbed. After, you can sit in the serene spa area where you drink tea, have some cookies and relax as long as you'd like. 
Laundry service is included in your stay which was great for us as we had been traveling for about a month in Spain before we arrived. Clothes were laundered and pressed very quickly and hung in room after our day out. 
The breakfast which was included with our stay was so fresh! Juice, fruits, eggs, bread, etc. 
In case you haven't noticed, we truly loved every single bit of our stay. It's a nice reprieve from the hustle and bustle of Marrakech city center and everyone felt like family. 
The owner of this riad knows how to do it right! She's Italian and was there during our stay and you can tell she loves what she's created and the people enjoy working there. Truly a magical experience.",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,Fantasic. with a minor negative on AC.,"Just like the other reviewers said. The service is simply the BEST. The location is great. 15 mins walk from the Medina. Included breakfast was amazing. There is a reason this is ranked #1. So, the only negative, I would say was that A?C was not strong enough and needs to be updated. As it was July and we were at the top floor. it was getting very hot and wouldnt cool fast enough. Now this doesnt apply if you travel in non-summer. Other than that, I would go back there and stay there again. We were very happy with the hammam and Spa service. 
Thanks Elena and everyone else.",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,A Hidden 5-Star Oasis in Marrakech,"What an absolute gem of a place to stay! I wasn’t sure what to expect at first, but from the moment we arrived, everything felt warm, welcoming, and effortlessly professional. An attendant from the riad kindly met us and guided us through the winding alleyways – already adding to the sense of mystery and adventure.

Then, as the door opened, we were completely taken aback – behind the unassuming entrance was the most stunning oasis, filled with beauty, charm, and smiling faces ready to greet us. A welcome drink on arrival set the tone – all class, without any pretence. I’ve stayed in many five-star hotels around the world, but this place truly holds its own.

The rooms were a dream – quiet and secluded, yet still just a short stroll from all the action, without a hint of the city noise. The food and hospitality were nothing short of exceptional, and the attention to detail – in the décor, the rooms, and the service – was outstanding.

We loved every moment. Having never stayed in a riad before, we didn’t know what to expect, but this experience surpassed every five-star hotel we’ve visited. If you’re heading to Marrakech, staying here is an absolute must!",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,DA dream experience,"We stayed in this Riad with a couple of friends and immediately we were welcomed as a family, we arrived at nine in the morning after traveling at night and immediately although not included we were offered a wonderful breakfast, the staff is extremely present at all times of the day, ready to cuddle you and solve problems. Every time we went out on a hike, we were provided with a mobile phone where we could always be in touch with the hotel staff. Very clean room and typical and well-kept structure in the center of the Medina.
I recommend it wholeheartedly, never found such a welcome",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,That's great!,"All fantastic!! You can't ask for more... from the staff you excellent data services, we will definitely come back to visit him!",Tripadvisor
Marrakech,Hotel,Riad Kheirredine,A perfect oasis in bustling Marrakesh. I would give it 6 stars if I could.,My wife and I just got back from a 4 night stay. This riad exceeded our expectations! We also booked a room for our newlywed daughter and son-in-law. The riad decorated their room with rose petals on the bed. The hotel is gorgeous in the traditional Moroccan style. It is immaculately clean. All of the staff were superbly attentive. Everyone spoke English. House keeping attended to the rooms twice daily with turn down service in the evening.  The food was excellent. Being July it was very hot. The rooftop restaurant after sunset was the perfect place to have dinner and enjoy the sounds of the  Medina in a relaxing breeze. The included breakfast is amazing. We took it in our room and at the indoor restaurant. The 3 crystal clear pools were inviting. We mostly spent our afternoons in the pool near the bar. The bartenders brought us drinks to the pool and never let our glasses empty. I fell in love with Moroccan tea and room service brought it to our room upon request at no additional charge. The included laundry service spoiled us. The spa was luxurious and the prices were half that of a spa in the United States. We had a couples hammam and couples massage 3 days in a row. We took two excursions while staying. Our balloon ride had a meeting point and a staff member happily walked us to the spot at 4:50am. We wanted a guide to show us the Medina and souk. The riad arranged everything and charged the tour to our room. We were so sad to have to leave.,Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,Amazing Honeymoon Experience,"We went for our Honeymoon and this was the most amazing Resort. The staff, the service, the accommodations, everything was amazing. The service at the pool was great, very attentive! The spa is so beautiful and this time of year is almost empty so was great for us and not over crowded.  Housekeeping and concierge also very attentive, we never waited more than 3 minutes for anything. The arrival and departure from the airport was also very seamless and the transportation is very luxurious. Truly a 5 star experience! We will be back!
- Ashley and Taylor Carter",Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,RECOMMENDED!,"La Mamounia is and will remain one of the most impressive places in the world for me – a hotel full of elegance. Even if ES was irritated the last time I visited the restaurant, my rating remains high. My note: from a duty manager (Mr. Kamal B.) in a house of this class, however, I expect more professional communication skills in handling feedback – here I still see room for improvement. Best regards, PS",Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,Beautiful.,"Have a drink in their garden 
C is beautiful and the price DE its drinks is correct only champagne is overpriced 38€ a glass. 
Very nice staff",Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,One of the most beautiful hotels in the world,"La Mamounia is considered one of the most beautiful hotels in the world, and for a long time it was awarded as the most beautiful hotel in the world, and really is. 
Not only because the location is wonderful , the service is excellent, the cuisine is amazing, the spa is enchanting, but because it is the ultimate in elegant and refined luxury in a setting made up of a magical city, Marrakech. 
From the moment you arrive, you are welcomed by very kind and caring staff who during your stay will always satisfy any request and any desire.
Everything is fabulous and leaving is really very difficult, except with the plan to return as soon as possible.",Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,Moroccan luxury,Top notch all around. Loved !!!  Luxury. Amazing service. Food pool gardens gyms location. Amazing. It’s in the Medina yet very quiet.,Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,Wonderful stay not to be missed!,"Welcome, accommodation and luxury in the details: a wonderful stay Everything is refined and delicate and every space of the hotel shows taste.",Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,Enchanted little bracket,"I wanted to share my experience of staying at the hotel this weekend. Everything was perfect! The service was exceptional and the staff was very attentive. I really enjoyed every moment and would love to come back soon.
Thank you for a wonderful stay!",Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,La mamounia july 2025,"Enchanted little break at the Mamounia for a brunch signed Pierre Hermé.
The hotel and gardens are sublime and the service is perfect.
Of course, not surprisingly, brunch was excellent.
A real pleasure to visit this mythical place of Marrakech.",Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,Magic!,excellent hospitality and accomodation. Historical palace where oriental magic meets european luxury. I would like to come back to this place,Tripadvisor
Marrakech,Hotel,La Mamounia Marrakech,,"The service is the best on the planet, it is a real PALACE service!
No other Hotel in Europe, USA or Asia exceeds LA MAMOUNIA. And so many kindnesses.",Tripadvisor
Marrakech,Hotel,Sol Oasis Marrakech,"Could have been better in terms of cleanliness in room , storage and food choices.","We have been to five star hotels but this one is not five star . This is my experience and I feel staff is trained in such a way that they know which nationality they should be giving preference to.
Drinks were not that good. The only drink was perfect was their coffee from indore bar.
Welcome drink cups were stained all the way around and horrible sugary water. Apparently they were serving fresh orange juice as welcome drink aswell but to some special guest. As far as food is concerned it was not upto standard beside pasta and pizza.
If you carry on tipping every day then one might get some special favours. Just to make our stay comfortable we have to do that.
I agree with other guest rooms are small and cloth storage is not enough for two people sharing hence we left our cloths in suitcases to say the least for comfort.
Guest relation was helpful and manager at breakfast time provided good service.",Tripadvisor
